3,What if I have to cancel or make changes to my order?,"<p>If you need to cancel or make changes to your order, please let customer service know within 24 hours of placing your order. After 24 hours changes/cancellations may not be able to be made without incurring fees since your order may have already begun the packing process to prep for shipping. While we will try our best to accommodate any requests, many times, door sample orders will not be able to be changed/canceled since most will ship the same day you place your order.</p>",1,2,"1,2"
4,What if I entered my Shipping Address wrong or need to change it?,"<p>Please contact customer service immediately if you need to change your shipping address. If a shipping address is changed after an order ships or if an address was entered incorrectly on an order and needs to be changed after shipment, most freight companies will charge a fee. We will contact the freight company ASAP if your order has already shipped and find out if there are any fees involved. We will do our best to eliminate or reduce any fees, but if the freight company charges for the change, you would be responsible for these charges.</p>",1,2,"1,2"
11,Do I need to be home to accept my delivery?,"<p>If your order is shipping with a freight company, you must be home for the delivery, if not, the freight company won&rsquo;t be able to deliver and they will charge you a re-delivery fee. After your order ships, customer service will email you a shipment confirmation which includes all your shipping information. Then, once the order arrives at your local freight terminal, the freight company will contact you to schedule the delivery date. This way, you will know exactly when to expect them. If your order is shipping Ground (with FedEx or UPS), no one needs to be home, the package(s) will be left even if no one is there.</p>",1,2,"1,2"
18,"My order is shipping outside the USA, what do I need to know?","<p>For orders being shipped outside the USA, the customer will be responsible for all customs duties and fees. These fees are established by the shipping company and customs agents and are not associated with The RTA Store. For more information about these fees, please contact your local customs office or broker (agent who will help facilitate your order over the border). You must provide The RTA Store with your Customs Broker's information (Name, Address, Company and Phone Number before your order can ship. When arranging with a Broker, you must inform them if your order will be shipping in parts or from separate warehouses (resulting in more than one shipment crossing the border). Please contact <a href=&quot;mailto:customerservice@thertastore.com&quot;>customerservice@thertastore.com</a> &nbsp;to find out if your order falls into this category.</p>",1,2,1
19,What orders qualify for Free Shipping promotions?,"<p>Free shipping offers apply to all Ready to Assemble and Pre-Assembled kitchen cabinet and bathroom vanity orders over $2500 and all Sample Door orders!</p><p>**Free shipping only applies to the 48 contiguous US states, it does not apply to Alaska, Hawaii, or out of country orders.**&nbsp;In the event you cancel your order after it has shipped, the shipping that would have been charged (had the Free Shipping discount not been applied) and any return shipping fees will be deducted from your refund.&nbsp;</p>",1,2,1
20,How can I pay for my order?,"<p>We accept MasterCard, Visa, Discover, American Express, PayPal, Bank Checks and Money Orders.</p>",1,2,"1,2"
21,When will my credit card be charged?,<p>Credit card authorization is needed before an order can be processed so your credit card will be charged when your order is placed.</p>,1,3,"1,2"
22,When will my order ship?,<p><span>Most Ready-to-Assemble orders will ship in 3-15 business days. Pre-Assembled orders will ship in 1-8 weeks. Please check the specific finish page on the website for a more accurate shipping time frame.</span></p>,1,3,1
23,How long will my order take to get to me once it ships?,"<p>Depending on the warehouse your cabinets are shipping from and the freight company, most transit times to your local freight terminal will be additional 1-6 business days.&nbsp; After your order arrives at the terminal, the freight company will contact you (at the number you entered with your shipping address) to schedule the exact delivery day.</p>",1,3,"1,2"
24,Will I receive my entire order in one shipment?,"<p>Various finishes ship from different warehouses throughout the USA. If you are ordering multiple finishes, you may receive separate shipments depending on which warehouses they are being shipped from. You will receive confirmation emails whenever your order (or part of your order) has shipped. Inside cabinet accessory items would also ship separately (trash inserts, pullouts, etc&hellip;)</p>",1,3,"1,2"
25,What if something on my order is out of stock?,"<div>In some cases, there will be certain items out of stock. If this is the case, we will notify you and let you know when it will be in stock. Then you will have the option to:</div><div>&nbsp;</div><div>1) Ship all in-stock items right away and the out-of-stock item(s) when they come in. You may be responsible for additional shipping charges</div><div>&nbsp;</div><div>2) Wait until all items are in, then ship complete</div><div>&nbsp;</div><div>3) Cancel the out of stock item(s)</div><div>&nbsp;</div><div>4) Switch the out of stock item(s) to another item that is in stock and ship the order (ex: switch a 15&quot; drawer base to a regular 15&quot; base, or a 21x30 wall cabinet to a 18x30 wall cabinet with a 3&rdquo; filler). If the items being changed result in a higher cost, you would be responsible for the difference and if they are a lesser cost, you would receive a refund for that amount</div>",1,3,"1,2"
26,How is my order being shipped?,<p>Larger cabinet and full kitchen orders will be shipped with a common freight carrier (the freight carrier will be determined when your order is ready for shipment and you will be emailed this info with you shipment confirmation). Smaller cabinets and accessories will be shipped with FedEx or UPS Ground.&nbsp;</p>,1,4,1
27,"What is a curbside, end-of-truck delivery?","<p>If shipping to a residential address, it is a curbside, end of truck delivery. Curbside, meaning the delivery will be made either at the curb or in your driveway, depending on what the driver deems the easiest and safest way to deliver your order. End of truck, meaning the driver is only responsible for moving the pallet to the end of the truck. From that point, it is the customer&rsquo;s responsibility to unload the pallet piece by piece (this is a perfect time to do a piece count and inspect each box for damage).</p>",1,4,"1,2"
